                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2566,                 1.0256,                 1.1317,                 1.4804,                  1.449,                 1.1289,                 0.7013,                0.56503,                0.60294,                0.36673,                 1.1905,                 1.0713,                 1.1519,                 1.3475,                 1.1208,                 1.1853,             0.00036931,             0.00036931,             0.00036931
                      2,                 1.2353,                0.85099,                 1.1244,                 1.4792,                 1.0053,                 1.1314,                0.68157,                0.66075,                0.68567,                0.43664,                 1.1674,                 1.0114,                 1.1505,                 1.3049,                 1.1438,                  1.177,             0.00073232,             0.00073232,             0.00073232
                      3,                 1.2178,                0.81641,                 1.1115,                 1.4634,                0.95691,                 1.1231,                0.74798,                 0.6617,                 0.7185,                0.46297,                  1.151,                0.80026,                 1.1273,                 1.2917,                0.90998,                 1.1539,               0.001088,               0.001088,               0.001088
                      4,                 1.1735,                0.76579,                 1.0907,                 1.4094,                0.89724,                 1.1022,                0.77741,                0.70606,                0.77485,                0.50632,                 1.0944,                0.70843,                 1.0854,                 1.2262,                 0.7866,                 1.1134,               0.001078,               0.001078,               0.001078
                      5,                 1.1451,                 0.7213,                 1.0719,                 1.3793,                0.83107,                 1.0834,                0.81502,                0.75165,                 0.8268,                0.55751,                 1.0848,                0.65471,                 1.0768,                 1.2007,                 0.6644,                 1.0953,               0.001078,               0.001078,               0.001078
                      6,                 1.1175,                 0.6844,                 1.0598,                 1.3364,                0.77513,                 1.0723,                0.77023,                0.78308,                0.82929,                0.56919,                 1.0481,                0.69837,                 1.0639,                 1.1579,                 0.7699,                 1.0792,               0.001067,               0.001067,               0.001067
                      7,                 1.0892,                0.65312,                 1.0449,                 1.3104,                0.73943,                 1.0539,                0.79196,                0.78302,                0.82789,                0.56772,                 1.0437,                0.62162,                 1.0673,                 1.1685,                0.63451,                 1.0904,               0.001056,               0.001056,               0.001056
                      8,                 1.0606,                 0.6301,                 1.0318,                 1.2736,                0.70665,                 1.0397,                0.85163,                0.79288,                0.86599,                0.60509,                 1.0002,                0.57802,                 1.0408,                 1.1082,                0.57503,                 1.0534,               0.001045,               0.001045,               0.001045
                      9,                 1.0301,                 0.6115,                 1.0188,                 1.2425,                0.67754,                 1.0284,                 0.8472,                 0.8194,                0.88166,                0.62314,                      1,                0.56068,                 1.0395,                 1.1016,                0.55316,                 1.0528,               0.001034,               0.001034,               0.001034
                     10,                 1.0213,                0.59333,                 1.0147,                 1.2262,                0.65629,                 1.0225,                0.80657,                0.81217,                0.87231,                 0.6154,                 0.9885,                0.56113,                  1.033,                  1.087,                0.56405,                 1.0451,               0.001023,               0.001023,               0.001023
                     11,                 1.0014,                0.57881,                 1.0073,                 1.2071,                0.63781,                 1.0167,                0.84564,                0.83994,                0.88641,                0.63343,                0.97038,                0.54243,                 1.0326,                 1.0764,                0.53167,                 1.0509,               0.001012,               0.001012,               0.001012
                     12,                0.99504,                0.57304,                  1.002,                 1.1954,                0.63028,                 1.0104,                0.87918,                0.81819,                0.89334,                0.63166,                 0.9725,                0.53826,                 1.0276,                  1.079,                0.53087,                 1.0411,               0.001001,               0.001001,               0.001001
                     13,                0.97132,                0.55398,                0.99157,                 1.1705,                0.60269,                 1.0002,                0.85817,                0.82357,                0.89108,                 0.6377,                0.96199,                0.52889,                 1.0213,                 1.0616,                0.52657,                 1.0383,             0.00099001,             0.00099001,             0.00099001
                     14,                0.95337,                0.53758,                0.98618,                 1.1496,                0.58499,                0.99514,                0.87366,                0.82791,                0.89937,                0.65312,                0.94591,                0.51947,                 1.0197,                  1.043,                0.51099,                 1.0313,             0.00097901,             0.00097901,             0.00097901
                     15,                0.93958,                0.53166,                0.97925,                 1.1346,                0.58088,                0.98681,                0.87173,                0.84674,                0.90936,                0.65856,                0.93002,                0.51437,                 1.0052,                 1.0255,                0.50112,                 1.0182,             0.00096801,             0.00096801,             0.00096801
                     16,                0.92961,                0.51935,                0.97641,                 1.1217,                0.56528,                0.98306,                0.87082,                0.85185,                0.91085,                0.66252,                 0.9247,                 0.5067,                 1.0037,                 1.0214,                0.49685,                 1.0184,             0.00095702,             0.00095702,             0.00095702
                     17,                0.91209,                0.50899,                0.96685,                 1.1028,                0.54745,                0.97494,                0.89063,                0.83477,                 0.9159,                0.67146,                0.92406,                0.49597,                 1.0084,                 1.0186,                0.49266,                 1.0188,             0.00094602,             0.00094602,             0.00094602
                     18,                0.89699,                0.49836,                 0.9607,                 1.0873,                0.53764,                0.96768,                0.86656,                0.86194,                0.91552,                0.67681,                0.91446,                0.48737,                0.99955,                 1.0107,                0.49174,                 1.0111,             0.00093502,             0.00093502,             0.00093502
                     19,                0.89296,                0.49675,                0.95697,                  1.077,                0.53262,                0.96525,                0.88896,                0.85058,                0.91566,                0.68661,                0.90286,                0.48279,                0.98766,                0.99002,                0.47284,                 1.0004,             0.00092402,             0.00092402,             0.00092402
                     20,                0.87351,                0.48012,                0.94806,                 1.0602,                0.51202,                0.95663,                0.88024,                0.85867,                0.92125,                0.68784,                0.90934,                0.48007,                0.99648,                 1.0038,                0.48135,                  1.008,             0.00091302,             0.00091302,             0.00091302
                     21,                0.85775,                0.47158,                0.94282,                 1.0405,                0.50505,                0.95021,                0.89848,                0.86241,                0.92506,                0.69036,                0.88403,                0.46867,                0.99058,                0.97094,                0.46969,                 1.0004,             0.00090202,             0.00090202,             0.00090202
                     22,                0.85467,                0.46686,                0.94248,                 1.0381,                0.49804,                0.94961,                0.87521,                 0.8825,                0.92992,                0.69996,                0.88771,                0.47382,                0.98911,                0.97688,                 0.4659,                 1.0042,             0.00089102,             0.00089102,             0.00089102
                     23,                 0.8419,                0.46378,                0.94193,                 1.0207,                0.49386,                0.94938,                0.90171,                0.86493,                0.92822,                0.70297,                0.87422,                0.46739,                0.98561,                0.96226,                0.46072,                0.99782,             0.00088002,             0.00088002,             0.00088002
                     24,                0.83094,                0.45509,                0.93363,                 1.0117,                0.48364,                0.94162,                0.89153,                0.88943,                0.93356,                0.71184,                0.86517,                0.46197,                0.98425,                0.94795,                0.45392,                0.99461,             0.00086902,             0.00086902,             0.00086902
                     25,                 0.8167,                 0.4445,                0.93061,                0.99369,                0.47165,                0.93928,                0.89789,                0.88129,                0.92999,                0.70767,                0.86522,                0.46209,                0.98424,                0.94927,                0.45979,                0.99538,             0.00085803,             0.00085803,             0.00085803
                     26,                0.80679,                0.43981,                0.92475,                0.98272,                0.46134,                0.93279,                0.88644,                0.89564,                0.93804,                0.71787,                0.85035,                0.44624,                0.97357,                0.94027,                0.44022,                0.98745,             0.00084703,             0.00084703,             0.00084703
